01747     00089-0302-02  N0004197600000360
01747     00089-0303-02  N0004672800000360
01747     00089-0304-02  N0005100000000144
01747     00074-4452-01  N0016200000000500
01747     00074-4427-01  N0007200000000500
01747     00013-1136-91  N0018000000000288
01747     00013-1166-83  N0021000000000288
01747     00013-1146-94  N0003960000000288
01747     00013-1156-79  N0006840000000288
01747     00013-1086-91  N0009480000000288
01747     00013-1116-83  N0024000000000288
01747     00013-1096-94  N0003960000000288
01747     00013-1106-79  N0006600000000288
01747     00074-1500-05  N0006975600000360
01747     00074-1957-01  N0026880000000360
01747     00074-1956-01  N0014400000000144
01747     00074-1955-01  N0012000000000360
01747     00074-4346-73  N0003698400000360
01747     00074-5921-01  N0001830000000144
01747     00074-5922-01  N0002152800000360
01747     00074-2991-03  N0012072000000144
01747     00074-4072-02  N0020838000000360
01747     00074-5855-05  N0010770000000360
01747     00074-1088-03  N0009000000000144
01747     00074-5855-03  N0009480000000144
01747     00074-1090-03  N0011040000000144
01747     00074-7122-07  N0045619200000144
01747     00007-3135-05  N0021420000000360
01747     00007-3137-05  N0003402000000360
01747     00007-3130-16  N0006240000000144
01747     00007-3131-16  N0003590400000360
01747     00074-7376-01  N0020598000000360
01747     00074-7379-01  N0023580000000360
01747     00074-4911-34  N0004032000000288
01747     00074-4910-34  N0004032000000288
01747     00074-4272-01  N0001760400000144
01747     00074-4273-01  N0002006400000360
01747     00074-1164-01  N0001755600000144
01747     00074-1159-01  N0005880000000144
01747     00074-1158-01  N0001380000000144
01747     00074-1162-01  N0006084000000144
01747     00074-1162-02  N0005760000000144
01747     00074-1163-01  N0009122400000144
01747     00074-1165-01  N0006720000000144
01747     00074-1159-02  N0005850000000144
01747     00074-1160-01  N0009152400000360
01747     00074-3613-01  N0002576400000360
01747     00074-9042-01  N0003134400000360
01747     00074-9042-02  N0003661200000144
01747     00074-9045-01  N0002770800000360
01747     00074-1184-01  N0001560000000360
01747     00074-4732-03  N0010314000000144
01747     00074-3118-31  N0008954400000360
01747     00074-4051-01  N0013200000000144
01747     00074-4092-01  N0002160000000288
01747     00074-7930-02  N0018950400000360
01747     00074-4089-02  N0003672000000144
01747     00074-7926-09  N0007580400000144
01747     00074-7933-09  N0009600000000360
01747     00074-1494-01  N0008892000000360
01747     00074-7923-37  N0014460000000360
01747     00074-7100-02  N0010989600000360
01747     00074-7923-36  N0014370000000360
01747     00074-7924-02  N0010920000000360
01747     00074-7925-03  N0010920000000360
01747     00074-7926-02  N0010920000000360
01747     00074-7926-03  N0010920000000360
01747     00074-1536-03  N0010560000000360
01747     00074-6648-02  N0001920000000240
01747     00074-4902-22  N0003654000000240
01747     00074-4902-34  N0003876000000240
01747     00074-2344-01  N0000450000000144
01747     00074-2344-02  N0006224400000144
01747     00074-2025-54  N0007296000000360
01747     00074-7808-22  N0015810000000360
01747     00074-4265-01  N0006024000000360
01747     00074-9104-20  N0002928000000360
01747     00074-7809-22  N0019977600000144
01747     00074-9105-18  N0005107200000360
01747     00074-4266-18  N0005178000000360
01747     00074-5820-10  N0001608000000360
01747     00074-9406-01  N0011076000000360
01747     00074-9406-02  N0017886000000360
01747     00074-3073-31  N0004200000000144
01747     00074-4921-34  N0004008000000240
01747     00074-7241-01  N0001188000000144
01747     00074-6481-01  N0005160000000360
01747     00074-6478-44  N0005563200000240
01747     00074-6476-44  N0003289200000180
01747     00074-6365-02  N0004956000000360
01747     00074-6342-05  N0005732400000120
01747     00074-6482-01  N0002907600000120
01747     00074-4065-58  N0025200000000288
01747     00074-6102-11  N0002304000000360
01747     00074-6101-10  N0003591600000288
01747     00074-6101-02  N0001404000000288
01747     00074-6102-02  N0001416000000288
01747     00074-6102-04  N0001320000000288
01747     00074-6101-04  N0001944000000288
01747     00074-3400-01  N0004870800000144
01747     00074-3401-01  N0004980000000144
01747     00074-1281-01  N0003561600000120
01747     00074-1281-25  N0004255200000120
01747     00074-1280-23  N0003600000000144
01747     00074-1280-21  N0005983200000144
01747     00074-1280-31  N0005155200000120
01747     00074-1281-32  N0005155200000120
01747     00074-1152-70  N0001380000000288
01747     00074-1151-78  N0001782000000144
01747     00074-7793-62  N0012849600000144
01747     00074-1280-01  N0003374400000144
01747     00074-1151-70  N0001272000000360
01747     00074-1152-78  N0001980000000288
01747     00074-7248-03  N0054224400000480
01747     00074-7372-62  N0006128400000360
01747     00074-7373-03  N0007908000000360
01747     00074-1410-05  N0012000000000600
01747     00074-1443-04  N0009240000000144
01747     00074-4276-01  N0001368000000144
01747     00074-4279-02  N0001482000000288
01747     00074-4282-01  N0001200000000288
01747     00074-4277-02  N0001650000000288
01747     00074-4904-34  N0003672000000360
01747     00074-7931-32  N0009564000000360
01747     00074-7931-24  N0022962000000360
01747     00074-3178-03  N0006624000000144
01747     00074-3178-02  N0005112000000144
01747     00074-3182-02  N0007464000000144
01747     00074-4275-01  N0006484800000144
01747     00074-4276-02  N0001776000000144
01747     00074-4903-34  N0003480000000144
01747     00074-4283-01  N0004800000000144
01747     00074-4924-15  N0003556800000360
01747     00074-9786-01  N0015522000000288
01747     00074-9786-03  N0011520000000288
01747     00074-9793-01  N0022938000000360
01747     00074-9789-03  N0019800000000288
01747     00074-9790-03  N0023040000000360
01747     00074-9791-03  N0030600000000144
01747     00074-1001-01  N0009316800000360
01747     00074-6729-23  N0014330400000360
01747     00074-2168-01  N0002814000000360
01747     00074-2168-02  N0004050000000360
01747     00074-2168-03  N0008400000000360
01747     00074-6730-13  N0014400000000360
01747     00074-4091-01  N0002304000000360
01747     00074-4031-01  N0003000000000180
01747     00074-7715-02  N0054600000000360
01747     00074-1559-10  N0002220000000600
01747     00074-1559-50  N0002400000000600
01747     00074-1587-50  N0000348000001200
01747     00074-1746-10  N0002520000000600
01747     00074-1746-30  N0003960000000600
01747     00074-1752-50  N0000660000000600
01747     00074-1222-02  N0004050000000600
01747     00074-1560-10  N0002220000000600
01747     00074-1560-30  N0002070000000600
01747     00074-1560-29  N0001788000000600
01747     00074-1749-29  N0003360000000600
01747     00074-1610-50  N0000330000002400
01747     00074-1749-10  N0002520000000600
01747     00074-1749-30  N0003505200000600
01747     00074-1755-50  N0000744000000600
01747     00074-1582-10  N0002460000000600
01747     00074-1582-29  N0004200000000600
01747     00074-1582-30  N0003322800000600
01747     00074-1750-30  N0002400000000600
01747     00074-1761-02  N0002696400000600
01747     00074-6030-04  N0013908000000360
01747     00074-3414-01  N0006678000000360
01747     00074-3413-01  N0005040000000144
01747     00074-7811-24  N0009739200000288
01747     00074-7811-37  N0026400000000144
